# freq_THz  G_total  G_In  G_Se
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=4; block_duration_ps=16.38400000; df_THz=0.06103516; total_equals_sum_of_partials=True
1.8981933594e+01 5.4643187566e-04 2.6724606121e-04 2.7918581445e-04
1.9042968750e+01 5.4819182933e-04 2.6622699421e-04 2.8196483513e-04
1.9104003906e+01 5.4412845892e-04 2.6348631199e-04 2.8064214693e-04
1.9165039062e+01 5.4848633293e-04 2.6426585473e-04 2.8422047820e-04
1.9226074219e+01 5.5045800429e-04 2.6480524854e-04 2.8565275575e-04
1.9287109375e+01 5.4381959128e-04 2.6117090693e-04 2.8264868435e-04
1.9348144531e+01 5.4327095827e-04 2.6023105602e-04 2.8303990226e-04
1.9409179688e+01 5.3603691009e-04 2.5611538790e-04 2.7992152219e-04
1.9470214844e+01 5.2659678094e-04 2.5182203395e-04 2.7477474698e-04
1.9531250000e+01 5.2634117925e-04 2.5144207789e-04 2.7489910136e-04
1.9592285156e+01 5.2190015421e-04 2.4903882819e-04 2.7286132602e-04
1.9653320312e+01 5.0937743733e-04 2.4297286331e-04 2.6640457403e-04
1.9714355469e+01 5.0317145165e-04 2.4010767499e-04 2.6306377666e-04
1.9775390625e+01 4.9030026707e-04 2.3406943407e-04 2.5623083301e-04
1.9836425781e+01 4.7976298116e-04 2.2862550921e-04 2.5113747195e-04
1.9897460938e+01 4.7214300090e-04 2.2492781675e-04 2.4721518416e-04
1.9958496094e+01 4.6029019797e-04 2.1928588174e-04 2.4100431623e-04
